原文件名,建议英文名,相对路径,所属目录,文件大小_KB,核心主题,是否归档,优先级,摘要,备注
化学版本快照 v0.6.md,化学版本快照 v0.6.md,03-worldbase化学理论\化学版本快照 v0.6.md,chemistry,23.0,,NO,LOW,,
GR_exploration_V0.6.md,GR_exploration_V0.6.md,06-广义相对论的论证\GR_exploration_V0.6.md,general-relativity,22.7,,NO,LOW,,
T-014 交付NextweakN_的物理确定——闭合参数系统.md,T-014 交付NextweakN_的物理确定——闭合参数系统.md,calculations\T-014 交付NextweakN_的物理确定——闭合参数系统.md,derivations,22.2,,NO,LOW,,
GR_exploration_V0.7.md,GR_exploration_V0.7.md,06-广义相对论的论证\GR_exploration_V0.7.md,general-relativity,22.1,,NO,LOW,,
GR_exploration_V0.8.md,GR_exploration_V0.8.md,06-广义相对论的论证\GR_exploration_V0.8.md,general-relativity,22.0,,NO,LOW,,
关于公理相互位置的思考.md,关于公理相互位置的思考.md,logs\关于公理相互位置的思考.md,explorations-logs,22.0,,NO,LOW,,
GR_exploration_V0.5.md,GR_exploration_V0.5.md,06-广义相对论的论证\GR_exploration_V0.5.md,general-relativity,21.9,,NO,LOW,,
强化公理推演.md,强化公理推演.md,04-社会科学应用\强化公理推演.md,social-science,21.5,,NO,LOW,,
GR_exploration_V0.10.md,GR_exploration_V0.10.md,06-广义相对论的论证\GR_exploration_V0.10.md,general-relativity,21.5,,NO,LOW,,
历史的公理解读.md,历史的公理解读.md,04-社会科学应用\历史的公理解读.md,social-science,21.3,,NO,LOW,,
T-018 正式推导.md,T-018 正式推导.md,calculations\T-018 正式推导.md,derivations,21.2,,NO,LOW,,
泡利不相容等三个公式的干净版.md,泡利不相容等三个公式的干净版.md,calculations\泡利不相容等三个公式的干净版.md,derivations,21.0,,NO,LOW,,
07-electromagnetism.md,07-electromagnetism.md,02-worldbase物理框架\worldbase-v2.1-split\07-electromagnetism.md,physics-framework,20.8,,NO,LOW,,
非线性Einstein自耦合连续极限.md,非线性Einstein自耦合连续极限.md,calculations\非线性Einstein自耦合连续极限.md,derivations,20.6,,NO,LOW,,
worldbaseV1.4.md,worldbaseV1.4.md,02-worldbase物理框架\worldbaseV1.4.md,physics-framework,20.5,,YES,LOW,,
宇宙常数.md,cosmological-constant.md,calculations\宇宙常数.md,derivations,19.8,,NO,LOW,,
T-010电弱统一与N参数跑动.md,T-010电弱统一与N参数跑动.md,calculations\T-010电弱统一与N参数跑动.md,derivations,19.5,,NO,LOW,,
中美公理诊断.md,china-us-axiomatic-diagnosis.md,04-社会科学应用\中美公理诊断.md,social-science,19.4,,NO,LOW,,
GR_exploration_V0.9.md,GR_exploration_V0.9.md,06-广义相对论的论证\GR_exploration_V0.9.md,general-relativity,18.9,,NO,LOW,,
worldbase V5.0 全新修正版.md,worldbase V5.0 全新修正版.md,05-历史版本归档\worldbase V5.0 全新修正版.md,archive,18.8,,YES,LOW,,
差异论导论.md,01-introduction-to-difference-theory.md,01-核心理论-差异论\差异论导论.md,core-theory,18.3,,NO,LOW,,
GR_oexploration_V0.14.md,GR_oexploration_V0.14.md,06-广义相对论的论证\GR_oexploration_V0.14.md,general-relativity,17.9,,NO,LOW,,
 GR_exploration_V0.3.md, GR_exploration_V0.3.md,06-广义相对论的论证\ GR_exploration_V0.3.md,general-relativity,17.8,,NO,LOW,,
观测值匹配——从实验数据反推 m₀、L、N 的物理数值.md,观测值匹配——从实验数据反推 m₀、L、N 的物理数值.md,calculations\观测值匹配——从实验数据反推 m₀、L、N 的物理数值.md,derivations,17.1,,NO,LOW,,
WorldBase化学再定义版本V0.9.md,chemistry-redefinition-v0.9.md,03-worldbase化学理论\WorldBase化学再定义版本V0.9.md,chemistry,17.0,,NO,LOW,,
12-cosmology.md,12-cosmology.md,02-worldbase物理框架\worldbase-v2.1-split\12-cosmology.md,physics-framework,15.7,,NO,LOW,,
T-011c 交付：§5.9.5 弦张力公式量纲修正.md,T-011c 交付：§5.9.5 弦张力公式量纲修正.md,calculations\T-011c 交付：§5.9.5 弦张力公式量纲修正.md,derivations,15.7,,NO,LOW,,
worldbase_化学再定义_V0.13.md,chemistry-redefinition-v0.13.md,03-worldbase化学理论\worldbase_化学再定义_V0.13.md,chemistry,14.9,,NO,LOW,,
两点和多格点的度规构造.md,两点和多格点的度规构造.md,calculations\两点和多格点的度规构造.md,derivations,14.9,,NO,LOW,,
泡利不相容原理.md,pauli-exclusion-principle.md,calculations\泡利不相容原理.md,derivations,14.6,,NO,LOW,,
时间度量的连续极限.md,时间度量的连续极限.md,calculations\时间度量的连续极限.md,derivations,14.5,,NO,LOW,,
worldbase化学再定义版本V0.8.md,worldbase化学再定义版本V0.8.md,03-worldbase化学理论\worldbase化学再定义版本V0.8.md,chemistry,14.1,,NO,LOW,,
定理LT的显式构造补充.md,定理LT的显式构造补充.md,calculations\定理LT的显式构造补充.md,derivations,13.2,,NO,LOW,,
04-continuous-limit.md,04-continuous-limit.md,02-worldbase物理框架\worldbase-v2.1-split\04-continuous-limit.md,physics-framework,12.2,,NO,LOW,,
改造方案.md,改造方案.md,改造方案.md,unknown,12.0,,NO,LOW,,
worldbase象界边界形式化V0.1.md,worldbase象界边界形式化V0.1.md,03-worldbase化学理论\worldbase象界边界形式化V0.1.md,chemistry,11.9,,NO,LOW,,
worldbase由象界到化学键的工作进度V0.2.md,worldbase由象界到化学键的工作进度V0.2.md,03-worldbase化学理论\worldbase由象界到化学键的工作进度V0.2.md,chemistry,11.7,,NO,LOW,,
worldbase V5.0.md,worldbase V5.0.md,05-历史版本归档\worldbase V5.0.md,archive,11.6,,YES,LOW,,
张量C-L定理.md,张量C-L定理.md,calculations\张量C-L定理.md,derivations,11.5,,NO,LOW,,
D=2双守恒涡旋的公理推导.md,D=2双守恒涡旋的公理推导.md,calculations\D=2双守恒涡旋的公理推导.md,derivations,11.2,,NO,LOW,,
关于我们在做什么的思考.md,reflection-on-our-work.md,logs\关于我们在做什么的思考.md,explorations-logs,11.2,,NO,LOW,,
09-possible-worlds.md,09-possible-worlds.md,02-worldbase物理框架\worldbase-v2.1-split\09-possible-worlds.md,physics-framework,10.8,,NO,LOW,,
discrete_laplacian_3x3.md,discrete_laplacian_3x3.md,calculations\discrete_laplacian_3x3.md,derivations,10.8,,NO,LOW,,
关于电荷定义唯一性问题的讨论.md,charge-uniqueness-discussion.md,logs\关于电荷定义唯一性问题的讨论.md,explorations-logs,10.5,,NO,LOW,,
8.19的修订意见.md,8.19的修订意见.md,calculations\8.19的修订意见.md,derivations,9.5,,NO,LOW,,
worldbase V4.1快照.md,worldbase V4.1快照.md,05-历史版本归档\worldbase V4.1快照.md,archive,9.4,,YES,LOW,,
03-gravity.md,03-gravity.md,02-worldbase物理框架\worldbase-v2.1-split\03-gravity.md,physics-framework,9.3,,NO,LOW,,
多源势场定义.md,多源势场定义.md,calculations\多源势场定义.md,derivations,8.9,,NO,LOW,,
worldbase由象界到化学键的工作进度V0.3.md,worldbase由象界到化学键的工作进度V0.3.md,03-worldbase化学理论\worldbase由象界到化学键的工作进度V0.3.md,chemistry,8.3,,NO,LOW,,
GR_exploration_V0.4.md,GR_exploration_V0.4.md,06-广义相对论的论证\GR_exploration_V0.4.md,general-relativity,8.0,,NO,LOW,,
worldbase V4.7 完整版.md,worldbase V4.7 完整版.md,05-历史版本归档\worldbase V4.7 完整版.md,archive,7.9,,YES,LOW,,
有限格点的度规构造.md,有限格点的度规构造.md,calculations\有限格点的度规构造.md,derivations,7.8,,NO,LOW,,
01-methodology.md,01-methodology.md,02-worldbase物理框架\worldbase-v2.1-split\01-methodology.md,physics-framework,7.7,,NO,LOW,,
关于worldbase推进过快的反思.md,关于worldbase推进过快的反思.md,05-历史版本归档\关于worldbase推进过快的反思.md,archive,6.3,,YES,LOW,,
关于交叉预测的可能性.md,关于交叉预测的可能性.md,logs\关于交叉预测的可能性.md,explorations-logs,6.3,,NO,LOW,,
T-018b引力波湍流的公理推导.md,T-018b引力波湍流的公理推导.md,calculations\T-018b引力波湍流的公理推导.md,derivations,6.2,,NO,LOW,,
02-axioms.md,02-axioms.md,02-worldbase物理框架\worldbase-v2.1-split\02-axioms.md,physics-framework,6.1,,NO,LOW,,
进度细节调整.md,进度细节调整.md,logs\进度细节调整.md,explorations-logs,5.9,,NO,LOW,,
worldbase由象界到化学键的工作进度V0.1.md,worldbase由象界到化学键的工作进度V0.1.md,03-worldbase化学理论\worldbase由象界到化学键的工作进度V0.1.md,chemistry,5.7,,NO,LOW,,
D=2双守恒公理推导的修正.md,D=2双守恒公理推导的修正.md,calculations\D=2双守恒公理推导的修正.md,derivations,5.2,,NO,LOW,,
DIAGNOSIS.md,DIAGNOSIS.md,02-worldbase物理框架\worldbase-v2.1-split\DIAGNOSIS.md,physics-framework,4.1,,NO,LOW,,
几个现实问题的思考和公理验证的思路.md,几个现实问题的思考和公理验证的思路.md,logs\几个现实问题的思考和公理验证的思路.md,explorations-logs,4.1,,NO,LOW,,
README.md,README.md,README.md,unknown,3.1,,NO,LOW,,
README.md,README.md,02-worldbase物理框架\worldbase-v2.1-split\README.md,physics-framework,2.7,,NO,LOW,,
worldbase V4.3 更新.md,worldbase V4.3 更新.md,05-历史版本归档\worldbase V4.3 更新.md,archive,1.4,,YES,LOW,,
worldbase V4.2更新.md,worldbase V4.2更新.md,05-历史版本归档\worldbase V4.2更新.md,archive,1.3,,YES,LOW,,
worldbase V4.4 更新.md,worldbase V4.4 更新.md,05-历史版本归档\worldbase V4.4 更新.md,archive,1.3,,YES,LOW,,
worldbase V4.5 更新.md,worldbase V4.5 更新.md,05-历史版本归档\worldbase V4.5 更新.md,archive,0.9,,YES,LOW,,
worldbase V4.6更新.md,worldbase V4.6更新.md,05-历史版本归档\worldbase V4.6更新.md,archive,0.9,,YES,LOW,,
强场自洽性验证.md,强场自洽性验证.md,calculations\强场自洽性验证.md,derivations,0.0,,NO,LOW,,
